Feature Index	Coefficient Value
0	123.216614
1	270.906039
2	4722.441974
3	-396.135870
4	119.906569
5	119.906569
6	-1845.343026
7	689.802358
8	-531.152529
9	1239.106653
10	1148.178732
11	-430.129628
12	-2133.237611
13	11.096478
14	-8.560026
15	-147.826153
16	-171.233954
17	-5.502779
18	-1.314657
19	1.037716
20	1.511709
21	-6.264741
22	-836.319873
23	-434.827600
24	-167.465979
25	-133.609946
26	-220.054600
27	-247.700940
28	-3393.998421
29	2123.654123
30	1111.946018
31	1482.244920
32	510.776229
33	476.997994
34	106.957552
35	-1621.644755
